18	6	E	-2.2192854617465788E8	200
probinit	1	0.0
probinit	2	2.744107394197545E-43
probinit	3	6.602624286404638E-4
probinit	4	1.6896341726943744E-192
probinit	5	8.710148528036537E-128
probinit	6	5.952963544343371E-4
probinit	7	2.818455967380846E-223
probinit	8	1.920426301818606E-10
probinit	9	0.002357588819688826
probinit	10	0.0055612518406706855
probinit	11	2.9066361046517235E-155
probinit	12	2.5599181468097715E-96
probinit	13	2.0435162272652248E-69
probinit	14	0.00119487963917919
probinit	15	0.002797189171926113
probinit	16	0.010234206552442596
probinit	17	4.4108336017599744E-26
probinit	18	0.9765993250009752
transitionprobs	1	1	0.7547691914158937
transitionprobs	1	2	0.08708104158948796
transitionprobs	1	3	0.11450883312656032
transitionprobs	1	4	0.017707962625206176
transitionprobs	1	5	0.0
transitionprobs	1	6	0.001809752534677861
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0025493589898939106
transitionprobs	1	9	3.727925630337582E-4
transitionprobs	1	10	0.015416709402298568
transitionprobs	1	11	0.0012232925242851888
transitionprobs	1	12	1.4564834130511127E-4
transitionprobs	1	13	0.0
transitionprobs	1	14	0.0014489386315694477
transitionprobs	1	15	0.0
transitionprobs	1	16	0.0
transitionprobs	1	17	0.0
transitionprobs	1	18	0.002966478255787812
transitionprobs	2	1	0.13633374883544747
transitionprobs	2	2	0.56959378126107
transitionprobs	2	3	0.020698733127156095
transitionprobs	2	4	0.0861050292081605
transitionprobs	2	5	7.149843707712046E-4
transitionprobs	2	6	0.04406787413907285
transitionprobs	2	7	0.0014658347988536946
transitionprobs	2	8	5.65623661549488E-4
transitionprobs	2	9	0.0
transitionprobs	2	10	0.00111274640673389
transitionprobs	2	11	0.020695527962961667
transitionprobs	2	12	0.0015413670832818912
transitionprobs	2	13	0.001506537210212596
transitionprobs	2	14	0.027915120927606157
transitionprobs	2	15	0.0011265922631173647
transitionprobs	2	16	0.0018529980705084383
transitionprobs	2	17	0.0258142922759986
transitionprobs	2	18	0.05888920839749835
transitionprobs	3	1	0.14186015293972543
transitionprobs	3	2	0.016748058443726673
transitionprobs	3	3	0.5833349022130255
transitionprobs	3	4	0.07262208808760723
transitionprobs	3	5	0.0
transitionprobs	3	6	0.00300186943196751
transitionprobs	3	7	1.1980048335904223E-4
transitionprobs	3	8	0.009624942278540386
transitionprobs	3	9	0.10853530276888149
transitionprobs	3	10	0.018756679529217994
transitionprobs	3	11	0.039852674910794715
transitionprobs	3	12	9.588402014513849E-5
transitionprobs	3	13	0.0
transitionprobs	3	14	8.093478886194326E-4
transitionprobs	3	15	1.7640549939809607E-4
transitionprobs	3	16	0.0
transitionprobs	3	17	6.169443231331459E-4
transitionprobs	3	18	0.0038449471818581696
transitionprobs	4	1	0.03185907546599827
transitionprobs	4	2	0.09922771858540493
transitionprobs	4	3	0.1054793267283745
transitionprobs	4	4	0.4572733623454455
transitionprobs	4	5	0.0
transitionprobs	4	6	0.030800240604716825
transitionprobs	4	7	0.0133845168789295
transitionprobs	4	8	0.0021735303897848766
transitionprobs	4	9	7.99841872474035E-4
transitionprobs	4	10	0.0
transitionprobs	4	11	0.21056005769156616
transitionprobs	4	12	0.0010237044380509313
transitionprobs	4	13	3.584484289674382E-6
transitionprobs	4	14	0.005318428252707011
transitionprobs	4	15	0.005492008830238617
transitionprobs	4	16	0.0
transitionprobs	4	17	0.015097181916367977
transitionprobs	4	18	0.02150742151565082
transitionprobs	5	1	0.0
transitionprobs	5	2	4.6714963523025255E-5
transitionprobs	5	3	0.0
transitionprobs	5	4	0.0
transitionprobs	5	5	0.9364926841173202
transitionprobs	5	6	0.05044620885833041
transitionprobs	5	7	0.011873491426167183
transitionprobs	5	8	1.0963070765773514E-4
transitionprobs	5	9	0.0
transitionprobs	5	10	2.6353266005960917E-5
transitionprobs	5	11	0.0
transitionprobs	5	12	9.077555028242698E-4
transitionprobs	5	13	0.0
transitionprobs	5	14	0.0
transitionprobs	5	15	1.4657282252554068E-5
transitionprobs	5	16	8.246488319146377E-5
transitionprobs	5	17	3.899272711578465E-8
transitionprobs	5	18	0.0
transitionprobs	6	1	6.902840588975539E-5
transitionprobs	6	2	0.0011275626558267483
transitionprobs	6	3	8.911171259144116E-5
transitionprobs	6	4	6.732316227278052E-4
transitionprobs	6	5	0.0188869431785647
transitionprobs	6	6	0.9429778846203158
transitionprobs	6	7	0.0023490367719602493
transitionprobs	6	8	6.437097643217416E-6
transitionprobs	6	9	0.0013393591738200474
transitionprobs	6	10	0.0056392907484267086
transitionprobs	6	11	0.023567113727716197
transitionprobs	6	12	0.0016705448385408894
transitionprobs	6	13	0.0
transitionprobs	6	14	6.169368603621471E-6
transitionprobs	6	15	4.1593825319845235E-5
transitionprobs	6	16	1.1526381481531075E-4
transitionprobs	6	17	3.6242281000163836E-8
transitionprobs	6	18	0.0014413921949567269
transitionprobs	7	1	0.0
transitionprobs	7	2	6.884831034198503E-4
transitionprobs	7	3	4.073567325564027E-5
transitionprobs	7	4	0.005856959370917078
transitionprobs	7	5	0.09337272716812772
transitionprobs	7	6	0.049599887902027455
transitionprobs	7	7	0.7833499825226098
transitionprobs	7	8	0.03459855438682133
transitionprobs	7	9	0.0052518646752453164
transitionprobs	7	10	0.006946022429183525
transitionprobs	7	11	0.02008658922371018
transitionprobs	7	12	8.66952672619665E-5
transitionprobs	7	13	0.0
transitionprobs	7	14	0.0
transitionprobs	7	15	1.2149827742012773E-4
transitionprobs	7	16	0.0
transitionprobs	7	17	0.0
transitionprobs	7	18	0.0
transitionprobs	8	1	0.006691260672057268
transitionprobs	8	2	0.0010100442429232263
transitionprobs	8	3	0.02241407805323831
transitionprobs	8	4	0.0031903626634706994
transitionprobs	8	5	0.003349195654791475
transitionprobs	8	6	4.668022310405756E-4
transitionprobs	8	7	0.11952454047772687
transitionprobs	8	8	0.7867661674980836
transitionprobs	8	9	0.041784644786699174
transitionprobs	8	10	0.014157369333423347
transitionprobs	8	11	0.0
transitionprobs	8	12	6.443706794698106E-4
